id,handle,title,status,category,collection
prod_01KCC54GM0BVSERDZ394MKMD14,big-student-large-laptop-backpack-black-ek0a5bahn551-b08yrwn3wb,Big Student Large laptop backpack Black EK0A5BAHN551,published,Backpack,
prod_01KCC54GM1VFSPYJD0FVXA7PCA,unisex-kids-bag-backpack-b09fm5pmn3,Unisex Kids Bag Backpack,published,Backpack,
prod_01KCC54GM1XZFGD834VP9T4113,superbreak-backpack-b08yrvszlj,Superbreak Backpack,published,Backpack,
prod_01KCC54GM69B5AYGHCBK4QT4K8,unisex-adult-union-pack-backpack-b08y2j5fpd,unisex-adult Union Pack Backpack,published,Backpack,
prod_01KCC54GM708TTF0RW604CNKR2,superbreak-one-backpack-b0b1v85h3y,SuperBreak One Backpack,published,Backpack,
prod_01KCC54GM7HK5JXG5HG8S9RYGK,unisex-big-day-pack-backpacks-b0f62y89lt,Unisex Big Day Pack BACKPACKS,published,Backpack,
prod_01KCC54GM96PDCJNKYWGVHARA9,unisex-adult-main-campus-backpack-b088kr4zzs,unisex-adult Main Campus Backpack,published,Backpack,
prod_01KCC54GM1MR3RA76023YCVB6V,unisex-classic-3-stripes-backpack-backpack-b09n2pjxrz,unisex Classic 3-Stripes Backpack BACKPACK,published,Backpack,
prod_01KCC54GM22WN3CYB0000Y1DPA,unisex-power-backpack-backpack-b09n2ndn9v,unisex Power Backpack BACKPACK,published,Backpack,
prod_01KCC54GM6A3JRJ7ZAS28G3ETY,unisex-classic-badge-of-sport-backpack-backpack-b09n2nj73c,unisex Classic Badge of Sport Backpack BACKPACK,published,Backpack,
prod_01KCC54GM70KAT2Q69R48TV4GB,unisex-adult-backpack-with-pencil-case-backpack-b0dmypb8pk,unisex-adult Backpack With Pencil Case Backpack,published,Backpack,
prod_01KCC54GM8RNSS68EHM5Z5C8GK,unisex-classic-foundation-backpack-backpack-b0bptl2kxf,unisex Classic Foundation Backpack BACKPACK,published,Backpack,
prod_01KCC54GN0ADEQWCCSGTDWXA6Q,alliance-sackpack-drawstring-backpack-gym-bag-b00gv47zgq,Alliance Sackpack Drawstring Backpack Gym Bag,published,Backpack,
prod_01KCC54GM2X8J61PJM9NVWMVXT,mens-elmntl-lbr-backpack-b09f35y815,Mens ELMNTL - LBR BACKPACK,published,Backpack,Men
prod_01KCC54GM5T7BH22EMW6KXNT3N,unisex-elmntl-hbr-backpack-b0dtz4jkgh,Unisex ELMNTL - HBR BACKPACK,published,Backpack,
prod_01KCC54GM6TJMK8EXV79EM70N5,unisex-elmntl-prm-backpack-b0b85kkc3x,Unisex ELMNTL PRM BACKPACK,published,Backpack,
prod_01KCC54GMBE5Z4C3ZBEPQRT85G,unisex-adult-nike-heritage-backpack-b0992x6s9w,unisex-adult Nike Heritage Backpack,published,Backpack,
prod_01KCC54GMHH4MGF44PY9ZK13JT,unisex-nk-elmntl-bkpk-hbr-backpack-b094dwdht6,unisex NK ELMNTL BKPK HBR Backpack,published,Backpack,
prod_01KCC54GMY84YGZYF41AEB12FE,unisex-adult-nike-heritage-backpack-b09b12ys8j,unisex-adult Nike Heritage Backpack,published,Backpack,
prod_01KCC54GMYYNJK20XED2YJWFYB,unisex-nk-acdmy-team-bkpk-2-3-backpack-b0bjqgb1bf,Unisex Nk Acdmy Team Bkpk 2.3 Backpack,published,Backpack,
prod_01KCC54GMZHK7Z0T3V3R0NBM8M,unisex-youth-academy-team-backpack-b08qvws9vs,Unisex-Youth Academy Team Backpack,published,Backpack,
prod_01KCC54GN13S6KFVJWNCM4A1W4,unisex-nk-elmntl-prm-bkpk-backpack-b0bzzkhqdf,Unisex NK ELMNTL PRM BKPK BACKPACK,published,Backpack,
prod_01KCC54GM67RWM22ACVTDGWAXQ,35l-travel-backpack-flight-approved-carry-on-backpack-for-international-travel-bag-water-resistant-durable-17-inch-laptop-backpacks-large-daypack-business-weekender-luggage-backpack-for-men-women-b07w75ntvr,"35L Travel Backpack,Flight Approved Carry On Backpack for International Travel Bag, Water Resistant Durable 17-inch Laptop Backpacks,Large Daypack Business Weekender Luggage Backpack for Men Women",published,Backpack,Men
prod_01KCC54GM7NR5BSMAEWEBTSJA5,classic-xl-backpack-b0cl89tvtr,Classic XL Backpack,published,Backpack,
prod_01KCC54GM9Y0B9CBKTYVXMXNEW,unisex-adult-classic-xl-backpack-backpack-b0cl8424tz,unisex-adult Classic Xl Backpack Backpack,published,Backpack,
prod_01KCC54GM8FBRJ1DPNVZNCNQB5,mens-puma-phase-backpacks-b0bwk4gprg,Mens PUMA Phase Backpacks,published,Backpack,Men
prod_01KCC54GM8JJBPME387XC3S5B1,mens-lunch-bag-and-backpack-set-b0b3f3pkln,Mens Lunch Bag and Backpack Set,published,Backpack,Men
prod_01KCC54GMB7BMTQGCX7A3GY3SH,business-travel-laptop-backpack-water-resistant-college-school-computer-bag-gifts-with-usb-charging-port-for-men-women-fits-15-6-inch-notebook-b08r58f7w3,"Business Travel Laptop Backpack, Water Resistant College School Computer Bag Gifts with USB Charging Port for Men & Women Fits 15.6 Inch Notebook",published,Backpack,Men
prod_01KCC54GMBCZAAGH4RWM27347W,laptop-backpack-men-s-work-for-15-6-inch-notebook-water-repellent-school-backpack-for-work-outdoor-travel-camping-b083ltb6cp,"Laptop Backpack Men's Work for 15.6 Inch Notebook, Water-Repellent School Backpack for Work, Outdoor, Travel, Camping",published,Backpack,Men
prod_01KCC54GMC3XXWVDZ8F03HRCPS,men-s-backpack-women-s-waterproof-school-bag-boy-girl-computer-15-6-inch-vintage-for-school-college-work-travel-leisure-b01ho06hak,"Men's Backpack, Women's Waterproof School Bag, Boy Girl Computer 15.6 Inch Vintage for School, College, Work, Travel, Leisure",published,Backpack,Men
prod_01KCC54GMZ022HKGKP42VBNZ7K,backpack-for-women-men-lightweight-school-bag-water-repellent-children-boy-leisure-for-girl-teenagers-college-business-travel-b071jnkk11,"Backpack for Women Men,Lightweight School Bag Water Repellent Children Boy Leisure for Girl Teenagers College Business Travel",published,Backpack,
prod_01KCC54GMEMY6VS3X4MV2PFH2F,laptop-travel-backpack-for-women-men-water-resistant-anti-theft-college-backpacks-fits-15-6-17-3-laptop-notebook-b075szqn9q,"Laptop Travel Backpack for Women Men,Water Resistant Anti-Theft College Backpacks Fits 15.6-17.3 Laptop/Notebook",published,Backpack,Men
prod_01KCC54GN07MA4VWC2VE6ACN6R,canvas-laptop-backpack-school-backpack-for-men-women-travel-rucksack-fits-15-6-17-3-laptop-bookbag-with-usb-charging-port-b0b7w8hv98,"Canvas Laptop Backpack,School Backpack for Men Women,Travel Rucksack Fits 15.6-17.3""Laptop, Bookbag with USB Charging Port",published,Backpack,
prod_01KCC54GN1A0AW5YP3BBXCJSH5,laptop-travel-backpack-for-women-men-water-resistant-anti-theft-college-backpacks-fits-15-6-17-3-laptop-notebook-b07l8srwpd,"Laptop Travel Backpack for Women Men,Water Resistant Anti-Theft College Backpacks Fits 15.6-17.3 Laptop/Notebook",published,Backpack,
prod_01KCC54GMFWW378WQVES6XHEFV,unisex-borealis-classic-backpack-pack-of-1-b01dpk4ipo,Unisex Borealis Classic Backpack (Pack of 1),published,Backpack,
prod_01KCC54GMHZNER938NJK9MCZBX,laptop-backpack-for-men-women-water-resistant-travel-bag-with-usb-charging-port-anti-theft-business-computer-daypack-for-work-and-college-b07n3wq6h7,"Laptop Backpack for Men Women,Water Resistant Travel Bag with USB Charging Port,Anti Theft Business Computer Daypack for Work and College",published,Backpack,Men
prod_01KCC54GN03XA9ME50H23MNYT1,laptop-backpack-for-men-women-water-resistant-travel-bag-with-usb-charging-port-anti-theft-business-computer-daypack-for-work-and-college-b074kv9tt4,"Laptop Backpack for Men Women,Water Resistant Travel Bag with USB Charging Port,Anti Theft Business Computer Daypack for Work and College",published,Backpack,
prod_01KCC54GMXQD6R0ATEX7DRZH5J,astronaut-backpack-for-boys-teens-large-capacity-school-bag-bookbag-for-kids-elementary-middle-b0bx5ftdt7,"Astronaut Backpack for Boys Teens, Large Capacity School Bag Bookbag for Kids Elementary Middle",published,Backpack,
prod_01KCC54GMYC6HS0DCWJYA947ME,small-cosmetic-bag-for-purse-mini-makeup-bag-for-school-cute-clear-make-up-pouch-for-travel-tiny-leather-white-make-up-organizer-case-for-backpack-toiletry-bag-waterproof-square-pouch-with-zipper-b0cdc1rbj9,Small Cosmetic Bag for Purse Mini Makeup Bag for School Cute Clear Make Up Pouch for Travel Tiny Leather White Make Up Organizer Case for Backpack Toiletry Bag Waterproof Square Pouch with Zipper,published,Backpack,
prod_01KCC54GN0JXYWSFD3J3S1G4N2,girls-backpack-kids-school-bookbag-set-for-teen-girls-elementary-students-casual-back-pack-with-lunch-box-b09npxlm85,Girls Backpack Kids School Bookbag Set for Teen Girls Elementary Students Casual Back Pack with Lunch Box,published,Backpack,
prod_01KCC54GN147FXBH1C5TGX99RD,unisex-hustle-4-0-water-resistant-backpack-waterproof-laptop-backpack-b07z7c6ttz,"Unisex Hustle 4.0 Water Resistant Backpack, Waterproof Laptop Backpack",published,Backpack,
prod_01KCC54GN40QGM6ZBZERNPFFH0,unisex-halftime-backpack-b0875dhjfh,Unisex Halftime Backpack,published,Backpack,
prod_01KCC54GN16VPJ4Q5QST5WH2Q3,skip-hop-sparks-kid-s-backpack-kindergarten-ages-3-4-rocket-b09x9hpt43,"Skip Hop Sparks Kid's Backpack, Kindergarten Ages 3-4, Rocket",published,Backpack,
prod_01KCC54GMHKZ5MRFEX0QJF69F0,men-shirt-stays-adjustable-elastic-shirt-garter-shirts-holder-with-non-slip-locking-clamps-for-police-military-b07qqwvfp7,Men Shirt Stays Adjustable Elastic Shirt Garter Shirts Holder with Non-slip Locking Clamps for Police Military,published,Shirt,Men
prod_01KCC54GMJF0PY3H3JAG5P2DJC,men-s-regular-polo-shirt-aw17mpcp11-b073x2spfg,Men's Regular Polo Shirt (AW17MPCP11),published,Shirt,Men
